taxid	rank	name	childcount	min	max	mode	median	mean	stddev	sum16slist
210	species	Helicobacter pylori	380	1	2	2	2.0	1.97	0.17	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
231715	species	Natrinema sp. XA3-1	1	4	4	4	4	4.00	0.00	[4]
183	species	Leptonema illini	1	2	2	2	2	2.00	0.00	[2]
172	species	Leptospira biflexa	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
94045	species	Leptospira sp. Akiyami C	1	2	2	2	2	2.00	0.00	[2]
173	species	Leptospira interrogans	44	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
64667	species	Mycobacterium lepraemurium	1	1	1	1	1	1.00	0.00	[1]
70799	species	Nodularia spumigena	2	4	4	4	4.0	4.00	0.00	[4, 4]
124	species	Blastopirellula marina	1	2	2	2	2	2.00	0.00	[2]
380	species	Sinorhizobium fredii	8	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3]
384	species	Rhizobium leguminosarum	30	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
382	species	Sinorhizobium meliloti	32	2	3	3	3.0	2.97	0.17	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
147	species	Spirochaeta aurantia	2	2	3	3	2.5	2.50	0.50	[3, 2]
2137	species	Spiroplasma apis	2	1	2	2	1.5	1.50	0.50	[2, 1]
2136	species	Spiroplasma monobiae	2	1	1	1	1.0	1.00	0.00	[1, 1]
2134	species	Spiroplasma melliferum	1	1	1	1	1	1.00	0.00	[1]
392734	species	Terriglobus roseus	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
278961	species	Terriglobus sp. TAA 43	1	1	1	1	1	1.00	0.00	[1]
278962	species	Terriglobus sp. TAA 48	1	1	1	1	1	1.00	0.00	[1]
35622	species	Thermostaphylospora chromogena	1	6	6	6	6	6.00	0.00	[6]
162	species	Treponema phagedenis	9	1	2	2	2	1.89	0.31	[2, 2, 2, 2, 2, 2, 2, 2, 1]
2094	species	Mycoplasmopsis arginini	4	2	2	2	2.0	2.00	0.00	[2, 2, 2, 2]
2121	species	Metamycoplasma orale	2	1	1	1	1.0	1.00	0.00	[1, 1]
196	species	Campylobacter fetus	30	3	3	3	3.0	3.00	0.00	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]
1828	species	Rhodococcus fascians	7	4	5	4	4	4.14	0.35	[4, 4, 5, 4, 4, 4, 4]
